ticker,period_end,report_date,usable_from_date,roe,roa,operating_margin,gross_profitability,debt_ratio,interest_coverage,per,pbr,pcr,psr,ev_ebitda,dividend_yield,fcf,operating_cash_flow,net_income,earnings_yoy
003555,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,4.53,,,,
032640,2026-12-31,2026-06-17,2026-06-17,5.86,,,,,,12.78,0.75,,,,4.23,,,1221.0,
011070,2026-12-31,2026-06-17,2026-06-17,5.92,,,,,,86.54,5.12,,,,0.15,,,14421.0,
066570,2026-12-31,2026-06-17,2026-06-17,4.02,,,,,,44.0,1.77,,,,0.58,,,5330.0,
066575,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.76,,,,
037560,2026-12-31,2026-06-17,2026-06-17,0.39,,,,,,94.57,0.37,,,,,,,23.0,
051910,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.86,,,,0.55,,,,
051915,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.25,,,,
079550,2026-12-31,2026-06-17,2026-06-17,17.73,,,,,,81.87,14.51,,,,0.31,,,11604.0,
006260,2026-12-31,2026-06-17,2026-06-17,5.49,,,,,,43.72,2.4,,,,0.58,,,9903.0,
010120,2026-12-31,2026-06-17,2026-06-17,13.86,,,,,,132.19,18.32,,,,0.24,,,1929.0,
000680,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.28,,,,,,,,
229640,2026-12-31,2026-06-17,2026-06-17,20.11,,,,,,51.91,10.44,,,,0.35,,,1387.0,
108320,2026-12-31,2026-06-17,2026-06-17,7.34,,,,,,9.68,0.71,,,,3.05,,,5081.0,
001120,2026-12-31,2026-06-17,2026-06-17,5.12,,,,,,10.06,0.51,,,,5.04,,,3943.0,
108670,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.41,,,,,,,,
108675,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,,,,,
383800,2026-12-31,2026-06-17,2026-06-17,6.78,,,,,,4.66,0.32,,,,3.56,,,1745.0,
38380K,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,3.72,,,,
023150,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.46,,,,5.8,,,,
035420,2026-12-31,2026-06-17,2026-06-17,7.05,,,,,,18.72,1.32,,,,1.08,,,13009.0,
036570,2026-12-31,2026-06-17,2026-06-17,10.3,,,,,,14.91,1.54,,,,0.43,,,17876.0,
181710,2026-12-31,2026-06-17,2026-06-17,2.16,,,,,,38.03,0.82,,,,1.29,,,1023.0,
005940,2026-12-31,2026-06-17,2026-06-17,11.44,,,,,,11.22,1.28,,,,4.02,,,2882.0,
005945,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,5.38,,,,
034310,2026-12-31,2026-06-17,2026-06-17,4.96,,,,,,11.2,0.56,,,,4.64,,,1079.0,
030190,2026-12-31,2026-06-17,2026-06-17,16.61,,,,,,10.98,1.82,,,,3.53,,,1317.0,
008260,2026-12-31,2026-06-17,2026-06-17,7.02,,,,,,4.67,0.33,,,,3.18,,,673.0,
004250,2026-12-31,2026-06-17,2026-06-17,2.88,,,,,,9.32,0.27,,,,3.32,,,339.0,
004255,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,5.33,,,,
456040,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.86,,,,,,,,
010060,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.42,,,,0.33,,,,
178920,2026-12-31,2026-06-17,2026-06-17,8.56,,,,,,22.56,1.93,,,,1.5,,,1035.0,
001340,2026-12-31,2026-06-17,2026-06-17,4.53,,,,,,26.16,1.18,,,,0.5,,,229.0,
005490,2026-12-31,2026-06-17,2026-06-17,1.18,,,,,,44.21,0.52,,,,2.6,,,8697.0,
010950,2026-12-31,2026-06-17,2026-06-17,1.99,,,,,,72.28,1.44,,,,0.3,,,1519.0,
010955,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,0.62,,,,
034120,2026-12-31,2026-06-17,2026-06-17,0.62,,,,,,29.86,0.19,,,,2.55,,,433.0,
003080,2026-12-31,2026-06-17,2026-06-17,22.43,,,,,,1.29,0.29,,,,9.03,,,1759.0,
005090,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.16,,,,2.31,,,,
001380,2026-12-31,2026-06-17,2026-06-17,1.83,,,,,,12.12,0.22,,,,,,,124.0,
004060,2026-12-31,2026-06-17,2026-06-17,0.3,,,,,,74.13,0.22,,,,,,,40.0,
001770,2026-12-31,2026-06-17,2026-06-17,3.55,,,,,,8.06,0.29,,,,1.53,,,1620.0,
002360,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.31,,,,,,,,
