ticker,name,market,sector,listing_date,is_etf,is_spac,is_managed,is_halted,as_of
003545,대신증권우,KOSPI,,,false,false,false,false,2026-07-19
009190,대양금속,KOSPI,,,false,false,false,false,2026-07-19
014160,대영포장,KOSPI,,,false,false,false,false,2026-07-19
047040,대우건설,KOSPI,,,false,false,false,false,2026-07-19
003090,대웅,KOSPI,,,false,false,false,false,2026-07-19
069620,대웅제약,KOSPI,,,false,false,false,false,2026-07-19
000430,대원강업,KOSPI,,,false,false,false,false,2026-07-19
006340,대원전선,KOSPI,,,false,false,false,false,2026-07-19
006345,대원전선우,KOSPI,,,false,false,false,false,2026-07-19
003220,대원제약,KOSPI,,,false,false,false,false,2026-07-19
024890,대원화성,KOSPI,,,false,false,false,false,2026-07-19
012800,대창,KOSPI,,,false,false,false,false,2026-07-19
015230,대창단조,KOSPI,,,false,false,false,false,2026-07-19
001070,대한방직,KOSPI,,,false,false,false,false,2026-07-19
006650,대한유화,KOSPI,,,false,false,false,false,2026-07-19
001440,대한전선,KOSPI,,,false,false,false,false,2026-07-19
084010,대한제강,KOSPI,,,false,false,false,false,2026-07-19
001790,대한제당,KOSPI,,,false,false,false,false,2026-07-19
001795,대한제당우,KOSPI,,,false,false,false,false,2026-07-19
001130,대한제분,KOSPI,,,false,false,false,false,2026-07-19
439260,대한조선,KOSPI,,,false,false,false,false,2026-07-19
003490,대한항공,KOSPI,,,false,false,false,false,2026-07-19
003495,대한항공우,KOSPI,,,false,false,false,false,2026-07-19
005880,대한해운,KOSPI,,,false,false,false,false,2026-07-19
003830,대한화섬,KOSPI,,,false,false,false,false,2026-07-19
016090,대현,KOSPI,,,false,false,false,false,2026-07-19
069460,대호에이엘,KOSPI,,,false,false,false,false,2026-07-19
475560,더본코리아,KOSPI,,,false,false,false,false,2026-07-19
192080,더블유게임즈,KOSPI,,,false,false,false,false,2026-07-19
004830,덕성,KOSPI,,,false,false,false,false,2026-07-19
004835,덕성우,KOSPI,,,false,false,false,false,2026-07-19
145720,덴티움,KOSPI,,,false,false,false,false,2026-07-19
002150,도화엔지니어링,KOSPI,,,false,false,false,false,2026-07-19
460850,동국씨엠,KOSPI,,,false,false,false,false,2026-07-19
460860,동국제강,KOSPI,,,false,false,false,false,2026-07-19
001230,동국홀딩스,KOSPI,,,false,false,false,false,2026-07-19
023450,동남합성,KOSPI,,,false,false,false,false,2026-07-19
004140,동방,KOSPI,,,false,false,false,false,2026-07-19
007590,동방아그로,KOSPI,,,false,false,false,false,2026-07-19
005960,동부건설,KOSPI,,,false,false,false,false,2026-07-19
005965,동부건설우,KOSPI,,,false,false,false,false,2026-07-19
026960,동서,KOSPI,,,false,false,false,false,2026-07-19
002210,동성제약,KOSPI,,,false,false,false,false,2026-07-19
102260,동성케미컬,KOSPI,,,false,false,false,false,2026-07-19
000640,동아쏘시오홀딩스,KOSPI,,,false,false,false,false,2026-07-19
170900,동아에스티,KOSPI,,,false,false,false,false,2026-07-19
028100,동아지질,KOSPI,,,false,false,false,false,2026-07-19
001520,동양,KOSPI,,,false,false,false,false,2026-07-19
001527,동양2우B,KOSPI,,,false,false,false,false,2026-07-19
084670,동양고속,KOSPI,,,false,false,false,false,2026-07-19
082640,동양생명,KOSPI,,,false,false,false,false,2026-07-19
001525,동양우,KOSPI,,,false,false,false,false,2026-07-19
018500,동원금속,KOSPI,,,false,false,false,false,2026-07-19
006040,동원산업,KOSPI,,,false,false,false,false,2026-07-19
030720,동원수산,KOSPI,,,false,false,false,false,2026-07-19
014820,동원시스템즈,KOSPI,,,false,false,false,false,2026-07-19
014825,동원시스템즈우,KOSPI,,,false,false,false,false,2026-07-19
111380,동인기연,KOSPI,,,false,false,false,false,2026-07-19
163560,동일고무벨트,KOSPI,,,false,false,false,false,2026-07-19
004890,동일산업,KOSPI,,,false,false,false,false,2026-07-19
002690,동일제강,KOSPI,,,false,false,false,false,2026-07-19
000020,동화약품,KOSPI,,,false,false,false,false,2026-07-19
000150,두산,KOSPI,,,false,false,false,false,2026-07-19
